,Time Asleep,Sleep Time,Wake Time
11/4/17 0:00,7:23,12:27,8:39
11/4/17 0:00,7:12,10:32,5:19
11/6/17 0:00,6:16,10:42,5:51
11/7/17 0:00,6:48,9:34,5:23
11/8/17 0:00,6:42,9:32,5:06
11/9/17 0:00,6:49,9:04,5:00
11/10/17 0:00,4:53,10:48,4:28
11/11/17 0:00,6:37,9:27,5:04
11/12/17 0:00,8:41,10:31,8:33
11/13/17 0:00,7:14,8:48,5:22
11/14/17 0:00,7:26,8:58,5:20
11/15/17 0:00,6:37,9:39,5:07
11/16/17 0:00,6:37,9:19,4:57
11/17/17 0:00,6:25,10:03,5:12
11/18/17 0:00,7:45,9:51,6:39
11/19/17 0:00,7:11,11:16,7:29
11/20/17 0:00,9:00,9:10,7:11
11/21/17 0:00,8:05,9:20,6:56
11/22/17 0:00,6:39,10:07,5:53
11/23/17 0:00,7:28,10:34,6:55
11/24/17 0:00,8:10,9:01,6:25
11/25/17 0:00,8:04,9:53,7:12
11/26/17 0:00,8:14,9:37,6:49
11/27/17 0:00,6:20,10:37,5:48
11/28/17 0:00,7:24,9:16,5:20
11/29/17 0:00,6:55,9:04,4:57
11/30/17 0:00,7:15,8:59,5:06
12/1/17 0:00,6:52,9:09,4:55